Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0603_1608Metric,18.2,-20.6375,270,top
C2,0.1uF,C_0603_1608Metric,18.2,-16.9125,90,top
C3,1uF,C_0603_1608Metric,16.150001,-27.3875,90,top
C4,1uF,C_0603_1608Metric,10.7,-27.3875,90,top
C5,0.1uF,C_0603_1608Metric,1.65,-14.0875,90,top
C6,0.1uF,C_0603_1608Metric,1.35,-6.9625,90,top
R1,39R,R_0603_1608Metric,8.95,-27.3875,270,top
R2,10k,R_0603_1608Metric,18.2,-12.1625,90,top
R3,10k,R_0603_1608Metric,7.25,-27.3875,90,top
U2,"TCR2EF19,LM(CT",SOT25,13.4,-27.4,90,top
U3,SN74LVC1T45QDCKRQ1,SOT-363_SC-70-6,2.85,-18.5,90,top
U4,TXB0104RUT,Texas_R_PUQFN-N12,2.15,-10.6,90,top
